LOCATION,X,Y,fe_exists
11TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,-122.316636342648,47.6590948659913,1
AURORA AVE N BETWEEN N 117TH PL AND N 125TH ST,-122.344896078772,47.717173100926296,1
N 125TH ST BETWEEN INTERURBAN TRL AND AURORA AVE N,-122.34685210816002,47.7195775492019,1
RAINIER AVE S BETWEEN S ORCHARD ST AND S GARDEN ST,-122.270506916563,47.5379612133222,1
23RD AVE S BETWEEN S MAIN ST AND S JACKSON ST,-122.30223491855699,47.5998025769682,1
38TH AVE S BETWEEN S OTHELLO ST AND S HOLLY PARK DR,-122.284701954557,47.53659606931371,1
15TH AVE NE BETWEEN NE 97TH ST AND NE 98TH ST,-122.312187758389,47.6998873846574,1
SW ROXBURY ST BETWEEN 5TH AVE SW AND 6TH AVE SW,-122.342238440919,47.5172849717662,1
31ST AVE S AND S MOUNT BAKER WB BV,-122.292994398469,47.576974443015786,1
17TH SB AVE NE BETWEEN NE 55TH ST AND NE 56TH ST,-122.309608144298,47.668997318117114,1
1ST AVE S AND S KING ST,-122.334191161017,47.598291715384796,1
15TH AVE NE AND NE 135TH ST,-122.312650653169,47.726648125897796,1
EAST MARGINAL WAY S AND S SPOKANE NR ST,-122.339680068598,47.5717003265275,1
SR99 TUNNEL NB BETWEEN ALASKAN WY VI NB AND SR99 REPUBLICAN OFF RP,-122.339841492813,47.6085748344151,0
15TH AVE W BETWEEN MAGNOLIA BR AND W BLAINE ST,-122.37613922402299,47.63415878160811,1
E MADISON ST BETWEEN E LEE ST AND WOODROW PL E,-122.28495410563299,47.6310917694416,1
SW HINDS ST BETWEEN 42ND AVE SW AND CALIFORNIA S AVE SW,-122.386216691583,47.573178039428605,1
S ATLANTIC ST BETWEEN 14TH AVE S AND 15TH AVE S,-122.314342633039,47.58998886732571,1
NE 45TH ST BETWEEN 7TH AVE NE AND 8TH W AVE NE,-122.32025239034901,47.6613158916479,1
TERRY AVE BETWEEN VIRGINIA ST AND LENORA ST,-122.335527126231,47.617433801247216,1
STONE WAY N AND N 43RD ST,-122.342256416584,47.6591832261046,1
37TH AVE SW AND SW LANDER ST,-122.378081392943,47.57927700166571,1
LAKE CITY WAY NE BETWEEN NE 140TH ST AND NE 143RD ST,-122.292342027123,47.731027067108,1
BURKE AVE N AND N 49TH ST,-122.33515522791402,47.6642927475284,1
1ST AVE NW AND NW 115TH ST,-122.358187716075,47.712353549362405,1
S KING ST BETWEEN 7TH AVE S AND CANTON AL S,-122.323425262352,47.598348699914,1
